﻿system_reference_number,facility_name,unit_name_and_description,form_score,patient_comments,Sentiment Score,Translated Text,Misspelled Words
IP-DPOS-2022-443-670625,Weskoppies Psychiatric Hospital,Ward 61(Male),1,HAPPY IN THE WARD,0.5719,HAPPY IN THE WARD,
IP-DPOS-2022-443-057092,Weskoppies Psychiatric Hospital,Ward 61(Male),1,NO COMPLAINTS,-0.5994,No Complaints,
IP-DPOS-2022-443-485732,Weskoppies Psychiatric Hospital,Ward 61(Male),1,SERVICE GOOD,0.4404,Service good,
IP-DPOS-2022-443-294935,Weskoppies Psychiatric Hospital,Ward 61(Male),1,THE STAFF IS OKAY,0.2263,THE STAFF IS OKAY,
IP-DPOS-2022-443-293524,Weskoppies Psychiatric Hospital,Ward 61(Male),1,I AM GLAD TO SAY THE STAFF IS ON TIME,0.4588,I AM GLAD TO SAY THE STAFF IS ON TIME,
IP-DPOS-2022-398-845379,Tembisa Tertiary Hospital,Ward 15,1,Maitshwaro a mabotse mo sepetlele sa thembisa hopital ke a ma botse kudu mo ke nyaka thso ke e humana ka nako . mo ka nyaka tshusho go ngaka e ya e humana mesong le boshego. dihlare re dinwa ka nako. re hlapa ka meetsi a go fisha re ja ga botse ke ya kgotsofala ka services ka di nako ka moka,0,Mitswarwaro a mosquito in the way as a botse of the botse to do so much.MO NAKA TWO WABA TABLE ET HUMANA MESON LE BOSHEGO.Dihlare re Dinwa.re hlapa for meatsi have gone to rea ga ga botse of the service,"meatsi,dinwa.re,waba,humana,mitswarwaro,hlapa,much.mo,boshego.dihlare,botse"
IP-DPOS-2022-149-954705,Heidelberg District Hospital,Ward3 maternity,1,please fix hot water its very cold,0.3182,please fix hot water its very cold,
IP-DPOS-2022-149-654761,Heidelberg District Hospital,Ward3 maternity,1,water is cold please fix the water problem,-0.1027,water is cold please fix the water problem,
IP-DPOS-2022-149-852002,Heidelberg District Hospital,Ward3 maternity,1,cold water its a problem,-0.4019,cold water its a problem,
IP-DPOS-2022-149-082440,Heidelberg District Hospital,Ward3 maternity,1,please fix water problem,-0.1027,please fix water problem,
IP-DPOS-2022-149-369883,Heidelberg District Hospital,Ward 2 female,1,no hot water,-0.296,no hot water,
IP-DPOS-2022-149-363925,Heidelberg District Hospital,Ward 2 female,1,Good care,0.7269,Good Care,
IP-DPOS-2022-149-384371,Heidelberg District Hospital,Ward 2 female,1,"no hot water, no tea",-0.5267,"no hot water, no tea","water,"
IP-DPOS-2022-149-683836,Heidelberg District Hospital,Ward 2 female,1,"water is cold
no tea",-0.296,"water is cold
no tea",
IP-DPOS-2022-149-842223,Heidelberg District Hospital,Ward 2 female,0.86,"no hot water
no tea",-0.5267,"no hot water
no tea",
IP-DPOS-2022-149-071092,Heidelberg District Hospital,Ward 2 female,1,ek het geen klagtes die staf was baie behulp saam. daar is net een klagte daar is nie warm water on te kan bad of te was nie moet is koue water was.,-0.701,I have no complaints The staff was very helping together.There is only one complaint that there is no hot water to bathe or to wash is cold water.,"water.,together.there"
IP-DPOS-2022-149-650685,Heidelberg District Hospital,Ward 2 female,0.86,thank you vry much for the good work.,0.6597,thank you vry much for the good work.,"vry,work."
IP-DPOS-2022-149-307683,Heidelberg District Hospital,Ward 2 female,1,"no hot water
no tea",-0.5267,"no hot water
no tea",
IP-DPOS-2022-149-404931,Heidelberg District Hospital,Ward 2 female,1,no hot water,-0.296,no hot water,
IP-DPOS-2022-398-468051,Tembisa Tertiary Hospital,Ward 15,1,I'm Maryjane malepe am happy about the service we give us on the hospital service are good. they give us medication on time everything was good at the time,0.8591,I'm Maryjane malepe am happy about the service we give us on the hospital service are good. they give us medication on time everything was good at the time,"good.,maryjane,malepe"
IP-DPOS-2022-398-762245,Tembisa Tertiary Hospital,Ward 15,1,Ngiphatheke kahle  ngiyabonga,0,Ngiphatheke kahle ngiyabonga,"ngiphatheke,ngiyabonga,kahle"
IP-DPOS-2022-398-273668,Tembisa Tertiary Hospital,Ward 20,1,"It was very nice to be here. I dont want to lie. each nd every Nurse or Doctor they give us love 
Many many thanks",0.8741,"It was very nice to be here. I dont want to lie. each nd every Nurse or Doctor they give us love 
Many many thanks","lie.,here.,nd"
IP-DPOS-2022-398-611920,Tembisa Tertiary Hospital,Ward 20,1,"We are treated very well there's nothing to complain about. I personal having a good experience here.
my injury was fully explained to me as i wanted to go home was told the danger I'm putting myself in so i decided stay",0.0523,"We are treated very well there's nothing to complain about. I personal having a good experience here.
my injury was fully explained to me as i wanted to go home was told the danger I'm putting myself in so i decided stay","here.,about."
IP-DPOS-2022-398-059863,Tembisa Tertiary Hospital,Ward 20,1,The nurses on ward 20 are exceptionally kind and compassionate. many thanks to them,0.8766,The nurses on ward 20 are exceptionally kind and compassionate. many thanks to them,compassionate.
IP-DPOS-2022-398-957180,Tembisa Tertiary Hospital,Ward 20,0.71,"Health care workers are not visible after medication is given. when using a bad pan at night one has to wait a long time before you get some one to react and bring it to you. not all medicaton is given to patients as per dr intructions Eg. I am supposed to get ferrous sulphate tables 3x daily, and only recieved in the moring althoughfile notes say I have.",-0.0772,"Health care workers are not visible after medication is given. when using a bad pan at night one has to wait a long time before you get some one to react and bring it to you. not all medicaton is given to patients as per dr intructions Eg. I am supposed to get ferrous sulphate tables 3x daily, and only recieved in the moring althoughfile notes say I have.","have.,althoughfile,medicaton,dr,recieved,daily,,3x,intructions,eg.,you.,moring,given."
IP-DPOS-2022-398-784485,Tembisa Tertiary Hospital,Ward 20,1,"Yes Mo sepetlele redutse monate di sisters tsa rona le dictors tsa rona dire swere qabotse wards ya rona e clean ditoilet di clean reja monate re ja ka nako re nwa dipilisi ka nako goseng re ja brewefast,ra ja lunch ,raja dinner",0.34,"YEES MO Sepetlele Redutse Monte di Sisters Ts Ron Le Dictors Ts Ron Dire Swere Qabotse Wards Ya Rona E Clean Ditoilet di Clean Reja Reja Rea Re Nwa Dipilisi Ka on Goseng Re Ja Brewephast, Ra ja lunch, Raja Dinner","qabotse,dictors,reja,nwa,rona,brewephast,,redutse,ts,swere,ditoilet,goseng,yees,sepetlele,lunch,,dipilisi"
IP-DPOS-2022-149-511114,Heidelberg District Hospital,WARD6 PAEDIATRICS,1,They are the best sister i ever seen since i came here the were treating us with respect and dignity. thank you to all the sisters who were operiting my baby girl and the doctors and to all the team day and night. you all the best i give you 100% love you all,0.9678,They are the best sister i ever seen since i came here the were treating us with respect and dignity. thank you to all the sisters who were operiting my baby girl and the doctors and to all the team day and night. you all the best i give you 100% love you all,"operiting,night.,dignity.,100%"
IP-DPOS-2022-149-681756,Heidelberg District Hospital,WARD6 PAEDIATRICS,1,they are so good to us they treat us with respect and thier taking good care of  my baby. am very much satisfied with the care they are giving.,0.9755,they are so good to us they treat us with respect and thier taking good care of  my baby. am very much satisfied with the care they are giving.,"baby.,giving.,thier"
IP-DPOS-2022-149-419073,Heidelberg District Hospital,WARD6 PAEDIATRICS,1,they are the best they know to treat patients.,0.7845,they are the best they know to treat patients.,patients.
IP-DPOS-2022-149-375303,Heidelberg District Hospital,WARD6 PAEDIATRICS,1,im very happy with the nurses and doctors they are doing a very good job and my son is getting better.,0.8775,im very happy with the nurses and doctors they are doing a very good job and my son is getting better.,better.
